Year,Bicycle,MotorCycle,Motor car,Goods Van and pick up,"Lorry,Tipper Truck and trailer",Bus,Others
2008,612,4954,6535,742,1287,542,323
2009,600,4958,7085,698,1246,498,100
2010,590,5100,7168,697,1372,557,85
2011,538,4801,7308,702,1364,496,87
2012,472,4572,6821,592,1345,465,90
2013,466,4231,6637,630,1361,499,82
2014,530,4506,6723,576,1384,505,98
2015,643,4694,6930,617,1413,568,117
2016,633,4913,7172,657,1321,572,101
2017,605,4619,6680,539,1128,494,103
2018,513,4748,6423,549,1220,510,99
2019,473,4860,6643,552,1051,468,86
2020,581,3364,4374,499,698,279,57
